jurisdiction,state,county,body,meeting_datetime,item_title,item_status,document_url,platform,source_url
"Troup County, GA",GA,Troup County,Board of County Commissioners,2026-08-18T00:00:00,,Final,https://troup.legistar1.com/troup/meetings/2026/8/986_A_Board_of_County_Commissioners_26-08-18_Agenda.pdf,legistar,https://webapi.legistar.com/v1/troup/Events
"Troup County, GA",GA,Troup County,Board of County Commissioners Work Session,2026-08-18T00:00:00,,Final,https://troup.legistar1.com/troup/meetings/2026/8/987_A_Board_of_County_Commissioners_Work_Session_26-08-18_Agenda.pdf,legistar,https://webapi.legistar.com/v1/troup/Events
"Troup County, GA",GA,Troup County,Board of County Commissioners,2026-07-24T00:00:00,GRANICUS TEST,Hidden,,legistar,https://webapi.legistar.com/v1/troup/Events
"Troup County, GA",GA,Troup County,Board of County Commissioners,2026-03-26T00:00:00,,Final,https://troup.legistar1.com/troup/meetings/2026/3/1015_A_Board_of_County_Commissioners_26-03-26_Meeting_Agenda.pdf,legistar,https://webapi.legistar.com/v1/troup/Events
"Troup County, GA",GA,Troup County,Board of County Commissioners Work Session,2026-03-26T00:00:00,,Final,,legistar,https://webapi.legistar.com/v1/troup/Events
"DuPage County, IL",IL,DuPage County,Zoning Board of Appeals,2026-10-29T00:00:00,,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Zoning Board of Appeals,2026-10-22T00:00:00,,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Zoning Board of Appeals,2026-10-15T00:00:00,,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Zoning Board of Appeals,2026-10-08T00:00:00,Cancelled,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Zoning Board of Appeals,2026-10-01T00:00:00,Cancelled,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Zoning Board of Appeals,2026-09-24T00:00:00,Cancelled,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Veterans Assistance Commission,2026-09-23T00:00:00,,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,Finance Committee,2026-09-22T00:00:00,,Final,https://dupage.legistar1.com/dupage/meetings/2026/9/11348_A_Finance_Committee_26-09-22_Regular_Meeting_Agenda.pdf,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,DuPage County Board,2026-09-22T00:00:00,,Final,https://dupage.legistar1.com/dupage/meetings/2026/9/11369_A_DuPage_County_Board_26-09-22_Regular_Meeting_Agenda.pdf,legistar,https://webapi.legistar.com/v1/dupage/Events
"DuPage County, IL",IL,DuPage County,DuPage Council on Strengthening the System,2026-09-21T00:00:00,,Final,,legistar,https://webapi.legistar.com/v1/dupage/Events
