project_id,decision_date,decision_date_source,source_url,note
prj_36,2025-09-22,"Google withdrawal, date stated in sourced tracker record",https://mirrorindy.org/google-behind-proposed-indianapolis-data-center-project/,Withdrawn hours before City-County Council vote
prj_32,2026-01-28,"Henry County Commissioners 2-1 PUD approval vote, date stated in sourced tracker record",https://indianapublicradio.org/news/2026/01/henry-county-data-center,Terminal local approval (PUD)
prj_85,2026-04-06,"Developer withdrawal, date stated in sourced tracker record",https://www.fox47news.com/neighborhoods/downtown-old-town-reo-town,Withdrawn hours before council vote
prj_35,2025-05-13,"Withdrawal notice to Plan Commission, county release; web-verified (WISH/WTHR/Daily Reporter 2025-05-13/14)",https://www.wishtv.com/news/politics/rezoning-proposal-withdrawn-for-data-center-in-hancock-county/,May 27 hearing cancelled
prj_159,2025-08-13,"Full withdrawal announced by Mooresville mayor; web-verified (WBTV/WCNC/NBC 2025-08-13, opposition site states date)",https://www.wbtv.com/2025/08/13/developers-withdraw-plans-data-center-nascar-legends-land-mooresville/,Removed from Sept 15 agenda; 'full withdrawal'
prj_203,2025-11-18,Hazle Township supervisors unanimous rejection at November 2025 meeting; source report dated 2025-11-18,https://www.foodandwaterwatch.org/2025/11/18/hazle-township-,Vote date per tracker event record; verify against township minutes if day precision is critical
prj_258,2026-02-23,Supervisors 3-2 rejection vote; tracker event record of the vote dated 2026-02-23 (Reading Eagle),https://www.readingeagle.com/2026/03/03/north-coventry-rejects-data-center,Rejected before formal submission
prj_227,2026-03-27,Borough council vote denying application; tracker event record of the vote dated 2026-03-27 (DeSmog 2026-03-31),https://www.desmog.com/2026/03/31/archbald-pennsylvania-residents-data-center,Verify against council minutes if day precision is critical
prj_298,2026-05-22,"Mason County Fiscal Court special meeting: final approval of rezoning ordinance (28 properties, ~2,080 acres); web-verified (WKRC 2026-05-22, WEKU 2026-05-26, thejobwalk 2026-06-02)",https://www.weku.org/the-commonwealth/2026-05-26/mason-county-gives-final-approval-on-rezoning-properties-for-data-center-construction,CAVEAT: We Are Mason County lawsuit pending (hearing 2026-06-26); approval stands unless overturned — monitor for finality per Project Delta precedent
prj_74,2025-10-15,Saline Township Board approved consent-judgment settlement permitting the campus (terminal local land-use disposition after 4-1 rezoning denial and developer exclusionary-zoning suit); web-verified (Planet Detroit 2025-11: settlement Oct 15; Saline Summit 2025-11-19; Fortune 2026-05-06),https://planetdetroit.org/2025/11/dte-openai-saline-township/,Consent judgment is the local terminal disposition; MPSC power-contract approval followed 2025-12-18. Resident Open Meetings Act challenge filed — monitor
